IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AB02.500-00.000 HF 4140 125KSI QT++                                   ",50532,2.5000,0.0000,0.0000,"HF 4140 125KSI QT++           ",16.688,11.7999,0.000,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4140 135KSI NQT                                    ",52278,2.5000,0.0000,0.0000,"HF 4140 135KSI NQT            ",16.688,0.0000,1.167,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4140 150KSI NQT                                    ",52306,2.5000,0.0000,0.0000,"HF 4140 150 KSI NQT           ",16.688,0.0000,18.668,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4140 AR                                            ",50498,2.5000,0.0000,0.0000,"HF 4140 AR                    ",16.688,13.3262,0.000,0.000,0.000,"2.500 ROUND BAR               ",PLI,"STB19                              "
"AB02.500-00.000 HF 4140 L80 QT/SR                                     ",51133,2.5000,0.0000,0.0000,"HF  4140 L80 QT/SR            ",16.688,17.6214,1082.665,0.000,0.000,"2.500 ROUND BAR               ",PLI,"STB22                              "
"AB02.500-00.000 HF 4330V 150 KSI QT                                   ",51947,2.5000,0.0000,0.0000,"HF 4330V 150 KSI QT           ",16.688,28.2369,1428.661,0.000,0.000,"2.500 ROUND BAR               ",PLI,"STB29                              "
"AB02.500-00.000 HF 4340  AR                                           ",52632,2.5000,0.0000,0.0000,"HF 4340  AR                   ",16.688,17.2588,446.585,0.000,68.500,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 4340 150K NQT 344/388                              ",51864,2.5000,0.0000,0.0000,"HF 4340 150K NQT 344/388      ",16.688,0.0000,4.585,0.000,4.876,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.500-00.000 HF 8620  ANN                                          ",51578,2.5000,0.0000,0.0000,"HF 8620  ANN..                ",16.688,24.1351,818.002,0.000,47.916,"2.500 ROUND BAR               ",PLI,"STB15                              "
"AB02.500-00.000 HF 8620  AR                                           ",51577,2.5000,0.0000,0.0000,"HF 8620  AR..                 ",16.688,17.4675,907.251,0.000,0.000,"2.500 ROUND BAR               ",PLI,"STB15                              "
"AB02.625-00.000 HF 4130M7  QT                                         ",51696,2.6250,0.0000,0.0000,"HF 4130M7  QT                 ",18.398,0.0000,0.000,0.000,0.000,"2.625 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.750-00.000 CD 4140  QT 369/420                                   ",51088,2.7500,0.0000,0.0000,"CD  4140  QT 369/420          ",20.192,0.0000,0.000,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.750-00.000 HF 4130 80 KSI NQT                                    ",52367,2.7500,0.0000,0.0000,"HF 4130 80 KSI NQT            ",20.192,21.6503,0.000,0.000,0.000,"2.750 ROUND BAR               ",PLI,"STB18                              "
"AB02.750-00.000 HF 4140 AR                                            ",50497,2.7500,0.0000,0.0000,"HF 4140 AR                    ",20.192,16.2029,0.000,0.000,0.000,"2.750 ROUND BAR               ",PLI,"STB19                              "
"AB02.750-00.000 HF 4140 NT 226/264                                    ",52255,2.7500,0.0000,0.0000,"HF 4140 NT 226/264            ",20.192,0.0000,30.250,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.750-00.000 HF 4140 P110 QT                                       ",50522,2.7500,0.0000,0.0000,"HF 4140 110KSI QT             ",20.192,21.5430,322.585,0.000,26.084,"2.750 ROUND BAR               ",PLI,"STB20                              "
"AB02.750-00.000 HF 4340  ANN                                          ",52143,2.7500,0.0000,0.0000,"HF 4340  ANN                  ",20.192,24.0736,191.832,0.000,0.000,"2.750 ROUND BAR               ",PLI,"STB16                              "
"AB02.750-00.000 HF 4340  NQT 301/352                                  ",52650,2.7500,0.0000,0.0000,"HF 4340  NQT 301/352          ",20.192,0.0000,18.000,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.750-00.000 HF 4340  NQT 344/388                                  ",51945,2.7500,0.0000,0.0000,"HF 4340  NQT 344/388          ",20.192,0.0000,0.583,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB02.750-00.000 HF 4340 NQT 381/432                                   ",52476,2.7500,0.0000,0.0000,"HF 4340 NQT 381/432           ",20.192,0.0000,12.918,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4130 80KSI QT                                      ",50957,3.0000,0.0000,0.0000,"HF 4130 80KSI QT              ",24.030,30.7057,1578.169,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB18                              "
"AB03.000-00.000 HF 4130 80KSI QT++                                    ",50728,3.0000,0.0000,0.0000,"HF 4130 80KSI QT++            ",24.030,26.9773,3.750,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB18                              "
"AB03.000-00.000 HF 4140  QT 336/371 BHN                               ",52669,3.0000,0.0000,0.0000,"HF 4140  QT 336/371 BHN       ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4140 110 KSI QT++                                  ",51691,3.0000,0.0000,0.0000,"HF 4140 110 KSI QT++          ",24.030,17.1633,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB20                              "
"AB03.000-00.000 HF 4140 110KSI QT                                     ",50318,3.0000,0.0000,0.0000,"HF 4140 110KSI QT             ",24.030,23.1064,297.414,0.000,14.334,"3.000 ROUND BAR               ",PLI,"STB20                              "
"AB03.000-00.000 HF 4140 4140 NQT 226-264 BHN                          ",51934,3.0000,0.0000,0.0000,"HF 4140 4140 NQT 226-264 BHN  ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4140 80KSI QT                                      ",50445,3.0000,0.0000,0.0000,"HF 4140 80KSI QT              ",24.030,16.6400,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB22                              "
"AB03.000-00.000 HF 4140 AR                                            ",50471,3.0000,0.0000,0.0000,"HF 4140 AR                    ",24.030,14.7982,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB19                              "
"AB03.000-00.000 HF 4140 QT 344/388                                    ",50907,3.0000,0.0000,0.0000,"HF 4140 QT 344/388            ",24.030,14.9563,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4145 125 KSI QT                                    ",51132,3.0000,0.0000,0.0000,"HF  4145 125 KSI QT           ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4330V 150 KSI NQT                                  ",51098,3.0000,0.0000,0.0000,"HF  4330V 150 KSI NQT         ",24.030,22.9727,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB29                              "
"AB03.000-00.000 HF 4340 130 KSI QT                                    ",51493,3.0000,0.0000,0.0000,"HF 4340 130 KSI QT..          ",24.030,38.3389,541.250,0.000,2.500,"3.000 ROUND BAR               ",PLI,"STB23                              "
"AB03.000-00.000 HF 4340 130 KSI QT++                                  ",51258,3.0000,0.0000,0.0000,"HF  4340 130 KSI QT++         ",24.030,21.9199,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB23                              "
"AB03.000-00.000 HF 4340 135 KSI NQT 293/341++                         ",51310,3.0000,0.0000,0.0000,"HF 4340 135 KSI NQT 293/341++ ",24.030,21.9200,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.000-00.000 HF 4340 ANN                                           ",50461,3.0000,0.0000,0.0000,"HF 4340 ANN..                 ",24.030,33.6977,552.167,0.000,0.000,"3.000 ROUND BAR               ",PLI,"STB16                              "
"AB03.000-00.000 HF 4340 NQT 344/388BHN++                              ",51948,3.0000,0.0000,0.0000,"HF 4340 NQT 344/388BHN++      ",24.030,0.0000,1.333,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.250-00.000 HF 4130 75 KSI NQT                                    ",51043,3.2500,0.0000,0.0000,"HF 4130 75 KSI NQT            ",28.202,22.6993,0.000,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB18                              "
"AB03.250-00.000 HF 4130 80 KSI NQT++                                  ",51720,3.2500,0.0000,0.0000,"HF 4130 80 KSI NQT++          ",28.202,20.6993,3.750,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB18                              "
"AB03.250-00.000 HF 4130 80KSI QT                                      ",50412,3.2500,0.0000,0.0000,"HF 4130 80KSI QT              ",28.202,37.5991,1153.165,0.000,10.000,"3.250 BAR                     ",PLI,"STB18                              "
"AB03.250-00.000 HF 4140 110 KSI QT++                                  ",51805,3.2500,0.0000,0.0000,"HF 4140 110 KSI QT++          ",28.202,22.7547,0.000,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB20                              "
"AB03.250-00.000 HF 4140 110KSI QT                                     ",50277,3.2500,0.0000,0.0000,"HF 4140 110KSI QT             ",28.202,35.9229,1304.002,0.000,4.000,"3.250 ROUND BAR               ",PLI,"STB20                              "
"AB03.250-00.000 HF 4140 80KSI QT                                      ",50864,3.2500,0.0000,0.0000,"HF 4140 80KSI QT              ",28.202,29.3393,423.500,0.000,22.167,"3.250 ROUND BAR               ",PLI,"STB22                              "
"AB03.250-00.000 HF 4340  AR                                           ",51919,3.2500,0.0000,0.0000,"HF 4340  AR..                 ",28.202,35.2797,151.415,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB16                              "
"AB03.250-00.000 HF 4340 125 KSI QT                                    ",51260,3.2500,0.0000,0.0000,"HF  4340 125 KSI QT..         ",28.202,53.7756,106.584,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB23                              "
"AB03.250-00.000 HF 4340 130 KSI QT                                    ",51151,3.2500,0.0000,0.0000,"HF  4340 130 KSI QT..         ",28.202,40.8871,876.666,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB23                              "
"AB03.250-00.000 HF 8620                                               ",51452,3.2500,0.0000,0.0000,"HF 8620                       ",28.202,28.7783,28.333,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB15                              "
"AB03.250-00.000 HF 8620  ANN                                          ",52303,3.2500,0.0000,0.0000,"HF 8620  ANN                  ",28.202,39.6571,295.164,0.000,0.000,"3.250 ROUND BAR               ",PLI,"STB15                              "
"AB03.250-00.000 HF 9310  NORM                                         ",52593,3.2500,0.0000,0.0000,"HF 4340  NORM                 ",28.202,0.0000,10.500,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4130 80 KSI NQT++                                  ",51557,3.5000,0.0000,0.0000,"HF 4130 80 KSI NQT++          ",32.708,29.0684,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB18                              "
"AB03.500-00.000 HF 4130 80 KSI QT                                     ",51421,3.5000,0.0000,0.0000,"HF 4130 80 KSI QT..           ",32.708,43.6039,544.752,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB18                              "
"AB03.500-00.000 HF 4130M7 125 KSI QT                                  ",52394,3.5000,0.0000,0.0000,"HF 4130M7 125 KSI QT          ",32.708,0.0000,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4140  TEMPERED 271-311 BHN                         ",52656,3.5000,0.0000,0.0000,"HF 4140  TEMPERED 271-311 BHN ",32.708,0.0000,10.166,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4140 110KSI QT                                     ",50278,3.5000,0.0000,0.0000,"HF 4140 110KSI QT             ",32.708,31.2492,576.499,0.000,12.960,"3.500 ROUND BAR               ",PLI,"STB20                              "
"AB03.500-00.000 HF 4140 80KSI QT                                      ",50446,3.5000,0.0000,0.0000,"HF 4140 80KSI QT              ",32.708,33.2666,172.833,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB22                              "
"AB03.500-00.000 HF 4140 QT 36-42 RC                                   ",51032,3.5000,0.0000,0.0000,"HF 4140 QT 36-42 RC..         ",32.708,17.5071,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4145 120 KSI QT                                    ",51052,3.5000,0.0000,0.0000,"HF 4145 120 KSI QT            ",32.708,0.0000,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4330V 150KSI QT                                    ",51999,3.5000,0.0000,0.0000,"HF 4330V 150KSI QT            ",32.708,54.4439,1451.667,0.000,1.042,"3.500 ROUND BAR               ",PLI,"STB29                              "
"AB03.500-00.000 HF 4340  NQT 344/388 BHN                              ",51761,3.5000,0.0000,0.0000,"HF 4340  NQT 344/388 BHN      ",32.708,0.0000,7.417,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4340  NQT 381/432                                  ",51694,3.5000,0.0000,0.0000,"HF 4340  NQT 381/432          ",32.708,0.0000,19.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.500-00.000 HF 4340 110 KSI QT                                    ",52405,3.5000,0.0000,0.0000,"HF 4340 110 KSI QT            ",32.708,65.0976,315.582,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB24                              "
"AB03.500-00.000 HF 4340 125 KSI NQT                                   ",51819,3.5000,0.0000,0.0000,"HF 4340 125 KSI NQT..         ",32.708,49.8649,268.084,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB23                              "
"AB03.500-00.000 HF 4340 130 KSI QT                                    ",51198,3.5000,0.0000,0.0000,"HF  4340 130 KSI QT           ",32.708,31.2712,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB23                              "
"AB03.500-00.000 HF 4340 ANN                                           ",50569,3.5000,0.0000,0.0000,"HF 4340 ANN..                 ",32.708,46.4702,176.921,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB16                              "
"AB03.500-00.000 HF 8620  AR                                           ",52007,3.5000,0.0000,0.0000,"HF 8620  AR                   ",32.708,30.4838,13.583,0.000,0.000,"3.500 ROUND BAR               ",PLI,"STB15                              "
"AB03.750-00.000 HF 4130 75KSI NQT                                     ",50434,3.7500,0.0000,0.0000,"HF 4130 75KSI NQT             ",37.547,31.6342,0.000,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB18                              "
"AB03.750-00.000 HF 4130 80 KSI QT                                     ",51757,3.7500,0.0000,0.0000,"HF 4130 80 KSI QT             ",37.547,49.5942,889.001,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB18                              "
"AB03.750-00.000 HF 4130 80KSI NQT++                                   ",50880,3.7500,0.0000,0.0000,"HF 4130 80KSI NQT++           ",37.547,29.8873,4.417,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB18                              "
"AB03.750-00.000 HF 4140 110KSI QT                                     ",50159,3.7500,0.0000,0.0000,"HF 4140 110KSI QT             ",37.547,37.3829,131.999,1060.000,0.417,"3.750 ROUND BAR               ",PLI,"STB20                              "
"AB03.750-00.000 HF 4140 125 KSI QT++                                  ",50158,3.7500,0.0000,0.0000,"HF 4140 125 KSI QT++          ",37.547,22.4815,0.000,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB19                              "
"AB03.750-00.000 HF 4140 125KSI QT                                     ",50534,3.7500,0.0000,0.0000,"HF 4140 125KSI QT             ",37.547,42.1219,1.333,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB13                              "
"AB03.750-00.000 HF 4140 80KSI QT                                      ",50367,3.7500,0.0000,0.0000,"HF 4140 80KSI QT              ",37.547,35.8070,138.250,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB22                              "
"AB03.750-00.000 HF 4145 125 KSI QT                                    ",51404,3.7500,0.0000,0.0000,"HF 4145 125 KSI QT            ",37.547,0.0000,0.000,0.000,0.000,"3.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.750-00.000 HF 4330V 150 KSI NQT                                  ",51099,3.7500,0.0000,0.0000,"HF  4330V 150 KSI NQT..       ",37.547,63.9359,2746.831,0.000,7.000,"3.750 ROUND BAR               ",PLI,"STB29                              "
"AB03.750-00.000 HF 4340  ANN                                          ",51477,3.7500,0.0000,0.0000,"HF 4340  ANN                  ",37.547,36.6872,0.000,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB16                              "
"AB03.750-00.000 HF 4340 110 KSI QT                                    ",51502,3.7500,0.0000,0.0000,"HF 4340 110 KSI QT            ",37.547,47.3219,127.334,0.000,13.750,"3.750 ROUND BAR               ",PLI,"STB24                              "
"AB03.750-00.000 HF 4340 125KSI NQT 285-336                            ",52222,3.7500,0.0000,0.0000,"HF 4340 125KSI NQT 285-336.   ",37.547,71.5996,166.083,0.000,0.000,"3.750 ROUND BAR               ",PLI,"DEFAULT                            "
"AB03.750-00.000 HF 8620  AR                                           ",52008,3.7500,0.0000,0.0000,"HF 8620  AR                   ",37.547,27.3564,73.084,0.000,0.000,"3.750 ROUND BAR               ",PLI,"STB15                              "
"AB04.000-00.000 HF 4130 75 KSI QT                                     ",52636,4.0000,0.0000,0.0000,"HF 4130 75 KSI QT             ",42.721,43.9489,209.333,0.000,1.021,"4.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.000-00.000 HF 4130 80KSI NQT++                                   ",50877,4.0000,0.0000,0.0000,"HF 4130 80KSI NQT++           ",42.721,46.0247,20.584,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB18                              "
"AB04.000-00.000 HF 4130 80KSI QT                                      ",50160,4.0000,0.0000,0.0000,"HF 4130 80KSI QT              ",42.721,44.9586,114.084,0.000,40.500,"4.000 ROUND BAR               ",PLI,"STB18                              "
"AB04.000-00.000 HF 4130M7 125 KSI QT                                  ",51823,4.0000,0.0000,0.0000,"HF 4130M7 125 KSI QT          ",42.721,83.6332,166.667,480.000,68.083,"4.000 ROUND BAR               ",PLI,"ES-MA-188-2                        "
"AB04.000-00.000 HF 4140 110 KSI QT++                                  ",51800,4.0000,0.0000,0.0000,"HF 4140 110 KSI QT++          ",42.721,33.1800,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB20                              "
"AB04.000-00.000 HF 4140 110KSI QT                                     ",50340,4.0000,0.0000,0.0000,"HF 4140 110KSI QT             ",42.721,41.9612,175.169,461.917,0.167,"4.000 ROUND BAR               ",PLI,"STB20                              "
"AB04.000-00.000 HF 4140 330-371 BHN QT                                ",51072,4.0000,0.0000,0.0000,"HF  4140 330-371 BHN QT..     ",42.721,29.7595,1.417,0.000,0.000,"4.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.000-00.000 HF 4140 80KSI QT                                      ",50422,4.0000,0.0000,0.0000,"HF 4140 80KSI QT              ",42.721,41.5781,223.750,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB22                              "
"AB04.000-00.000 HF 4140 AR                                            ",50322,4.0000,0.0000,0.0000,"HF 4140 AR                    ",42.721,23.9200,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB19                              "
"AB04.000-00.000 HF 4145 125 KSI NQT                                   ",52467,4.0000,0.0000,0.0000,"HF 4145 125 KSI NQT           ",42.721,0.0000,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.000-00.000 HF 4340   28-32RC                                     ",51508,4.0000,0.0000,0.0000,"HF 4340   28-32RC             ",42.721,0.0000,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.000-00.000 HF 4340 125KSI NQT                                    ",50603,4.0000,0.0000,0.0000,"HF 4340 125KSI NQT            ",42.721,50.0416,273.584,0.000,20.000,"4.000 ROUND BAR               ",PLI,"STB23                              "
"AB04.000-00.000 HF 4340 130 KSI QT                                    ",51223,4.0000,0.0000,0.0000,"HF  4340 130 KSI QT           ",42.721,52.2703,16.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB23                              "
"AB04.000-00.000 HF 4340 ANN                                           ",50618,4.0000,0.0000,0.0000,"HF 4340 ANN                   ",42.721,37.2026,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB16                              "
"AB04.000-00.000 HF 4340 AR                                            ",50516,4.0000,0.0000,0.0000,"HF 4340 AR                    ",42.721,40.1201,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB16                              "
"AB04.000-00.000 HF 8620  AR                                           ",52004,4.0000,0.0000,0.0000,"HF 8620  AR..                 ",42.721,43.2397,126.333,0.000,0.000,"4.000 ROUND BAR               ",PLI,"STB15                              "
"AB04.250-00.000 HF 4130 75 KSI NQT                                    ",52594,4.2500,0.0000,0.0000,"HF 4130 75 KSI NQT            ",48.228,35.2266,20.083,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 4130 80KSI QT                                      ",50161,4.2500,0.0000,0.0000,"HF 4130 80KSI QT              ",48.228,42.6006,159.749,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB18                              "
"AB04.250-00.000 HF 4130 AR                                            ",51039,4.2500,0.0000,0.0000,"HF 4130 AR..                  ",48.228,29.6137,8.667,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 4130M7 NQT 277/326                                 ",52266,4.2500,0.0000,0.0000,"HF 4130M7 NQT 277/326         ",48.228,0.0000,1.083,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 4140 110 KSI QT++                                  ",51794,4.2500,0.0000,0.0000,"HF 4140 110 KSI QT++          ",48.228,52.1275,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB20                              "
"AB04.250-00.000 HF 4140 110KSI QT                                     ",50162,4.2500,0.0000,0.0000,"HF 4140 110KSI QT             ",48.228,44.2935,334.498,0.000,5.967,"4.250 ROUND BAR               ",PLI,"STB20                              "
"AB04.250-00.000 HF 4140 135K QT 301/353                               ",51364,4.2500,0.0000,0.0000,"HF 4140 135K QT 301/353       ",48.228,0.0000,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 4140 80 KSI QT                                     ",51214,4.2500,0.0000,0.0000,"HF  4140 80 KSI QT            ",48.228,27.3602,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB22                              "
"AB04.250-00.000 HF 4140 QT 30-36RC                                    ",51128,4.2500,0.0000,0.0000,"HF  4140 NQT 125K             ",48.228,58.4337,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB20                              "
"AB04.250-00.000 HF 4330V 150 KSI NQT                                  ",51101,4.2500,0.0000,0.0000,"HF  4330V 150 KSI NQT         ",48.228,77.6468,1381.166,0.000,15.250,"4.250 ROUND BAR               ",PLI,"STB29                              "
"AB04.250-00.000 HF 4340  ANN++                                        ",51534,4.2500,0.0000,0.0000,"HF 4340  ANN++                ",48.228,0.0000,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB16                              "
"AB04.250-00.000 HF 4340 AR                                            ",50292,4.2500,0.0000,0.0000,"HF 4340 AR                    ",48.228,42.2767,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB16                              "
"AB04.250-00.000 HF 4340 NQT 301/352                                   ",51957,4.2500,0.0000,0.0000,"HF 4340 NQT 301/352           ",48.228,0.0000,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 8620                                               ",51425,4.2500,0.0000,0.0000,"HF 8620                       ",48.228,56.1789,29.250,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.250-00.000 HF 8620 AR                                            ",50001,4.2500,0.0000,0.0000,"HF 8620 AR                    ",48.228,28.5717,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"STB15                              "
"AB04.500-00.000 HF 4130  QT 223/245                                   ",52326,4.5000,0.0000,0.0000,"HF 4130  QT 223/245           ",54.068,0.0000,2.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.500-00.000 HF 4130 75 KSI NQT                                    ",51044,4.5000,0.0000,0.0000,"HF 4130 75 KSI NQT            ",54.068,84.0441,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB18                              "
"AB04.500-00.000 HF 4130 80 KSI NQT 207/235++                          ",51911,4.5000,0.0000,0.0000,"HF 4130 80KSI NQT 207/235++   ",54.068,42.5200,14.750,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB18                              "
"AB04.500-00.000 HF 4130 80KSI NQT                                     ",50925,4.5000,0.0000,0.0000,"HF 4130 80KSI NQT             ",54.068,59.8070,250.084,0.000,20.208,"4.500 ROUND BAR               ",PLI,"STB18                              "
"AB04.500-00.000 HF 4140  NQT 226/264                                  ",52350,4.5000,0.0000,0.0000,"HF 4140  NQT 226/264          ",54.068,0.0000,16.917,0.000,0.000,"4.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.500-00.000 HF 4140 110 KSI QT++                                  ",51801,4.5000,0.0000,0.0000,"HF 4140 110 KSI QT++          ",54.068,26.7674,104.500,0.000,14.750,"4.500 ROUND BAR               ",PLI,"STB20                              "
"AB04.500-00.000 HF 4140 110KSI QT                                     ",50334,4.5000,0.0000,0.0000,"HF 4140 110KSI QT             ",54.068,59.7891,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB20                              "
"AB04.500-00.000 HF 4140 125KSI NQT                                    ",50608,4.5000,0.0000,0.0000,"HF 4140 125KSI NQT            ",54.068,51.0862,439.502,0.000,6.000,"4.500 ROUND BAR               ",PLI,"STB20                              "
"AB04.500-00.000 HF 4140 80KSI QT                                      ",50343,4.5000,0.0000,0.0000,"HF 4140 80KSI QT              ",54.068,55.8681,9.250,120.500,1.750,"4.500 ROUND BAR               ",PLI,"STB22                              "
"AB04.500-00.000 HF 4140 AR                                            ",50163,4.5000,0.0000,0.0000,"HF 4140 AR                    ",54.068,40.8288,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB19                              "
"AB04.500-00.000 HF 4330V 150 KSI NQT                                  ",51102,4.5000,0.0000,0.0000,"HF  4330V 150 KSI NQT         ",54.068,91.7292,707.081,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB29                              "
"AB04.500-00.000 HF 4330V NQT 140 KSI                                  ",50905,4.5000,0.0000,0.0000,"HF 4330V NQT 140 KSI          ",54.068,54.6180,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"DEFAULT                            "
"AB04.500-00.000 HF 4340  AR                                           ",51480,4.5000,0.0000,0.0000,"HF 4340  AR                   ",54.068,51.5032,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"STB16                              "
"AB04.500-00.000 HF 4340 125 KSI NQT                                   ",52723,4.5000,0.0000,0.0000,"HF 4340 125 KSI NQT           ",54.068,58.8421,109.666,0.000,20.000,"4.500 ROUND BAR               ",PLI,"DEFAULT                            "
